Mutation Operator,Gen.,Killed,Trivial,Live,Equiv.,Invalid
CMO-M-DEL_ActionBlock_statements,2,0,2,,0,0
CMO-M-DEL_Module_elements,17,0,13,,4,0
CMO-M-DEL_OutPattern_elements,4,0,0,,0,4
CMO-M-DEL_SimpleOutPatternElement_bindings,14,0,13,,1,0
CMO-M-REP_Module_elements,7,0,7,,0,0
CMO-S-DEL_CalledRule_actionBlock,1,0,1,,0,0
CMO-S-DEL_CalledRule_outPattern,1,0,0,,0,1
CMO-S-DEL_InPattern_filter,1,0,0,1,0,0
CMO-S-DEL_LazyMatchedRule_inPattern,5,0,0,,0,5
CMO-S-DEL_LazyMatchedRule_outPattern,5,0,0,,0,5
CMO-S-DEL_MatchedRule_actionBlock,1,0,1,,0,0
CMO-S-DEL_MatchedRule_inPattern,1,0,0,,0,1
CMO-S-DEL_MatchedRule_outPattern,1,0,0,,0,1
CMO-S-DEL_OclFeatureDefinition_context_,8,0,6,,2,0
CMO-S-REP_Attribute_name,2,0,0,,2,0
CMO-S-REP_Attribute_type,34,0,0,,34,0
CMO-S-REP_BindingStat_source,3,0,1,,0,2
CMO-S-REP_Binding_propertyName,22,0,22,,0,0
CMO-S-REP_CalledRule_isEntrypoint,1,0,1,,0,0
CMO-S-REP_CalledRule_name,1,0,0,,1,0
CMO-S-REP_InPattern_filter,6,0,4,2,0,0
CMO-S-REP_Iterator_varName,6,0,0,,6,0
CMO-S-REP_LazyMatchedRule_name,5,0,5,,0,0
CMO-S-REP_MatchedRule_name,1,0,0,,1,0
CMO-S-REP_OclContextDefinition_context_,93,0,83,,10,0
CMO-S-REP_OclFeatureDefinition_feature,10,0,6,,4,0
CMO-S-REP_OclModelElement_name,22,0,15,,7,0
CMO-S-REP_OclModel_name,13,0,9,,3,1
CMO-S-REP_Operation_name,8,0,6,,2,0
CMO-S-REP_Operation_returnType,28,0,0,28,0,0
CMO-S-REP_SequenceType_elementType,30,0,0,,30,0
CMO-S-REP_SimpleInPatternElement_type,41,0,8,33,0,0
CMO-S-REP_SimpleInPatternElement_varName,6,0,0,,6,0
CMO-S-REP_SimpleOutPatternElement_type,86,0,86,,0,0
CMO-S-REP_SimpleOutPatternElement_varName,10,0,0,,10,0
Total,496,0,289,64,123,20
