Mutation Operator,Gen.,Killed,Trivial,Live,Equiv.,Invalid
CMO-M-DEL_ActionBlock_statements,3,0,3,,0,0
CMO-M-DEL_CalledRule_parameters,3,0,0,,0,3
CMO-M-DEL_IfStat_thenStatements,1,0,1,,0,0
CMO-M-DEL_MatchedRule_children,10,0,7,,3,0
CMO-M-DEL_Module_elements,14,0,13,,1,0
CMO-M-DEL_SimpleOutPatternElement_bindings,21,0,20,,1,0
CMO-M-REP_MatchedRule_children,82,0,70,,3,9
CMO-M-REP_Module_elements,2,0,2,,0,0
CMO-S-DEL_CalledRule_actionBlock,2,0,2,,0,0
CMO-S-DEL_CalledRule_outPattern,2,0,0,,0,2
CMO-S-DEL_MatchedRule_actionBlock,1,0,1,,0,0
CMO-S-DEL_MatchedRule_inPattern,12,0,0,,0,12
CMO-S-DEL_MatchedRule_outPattern,12,0,11,,0,1
CMO-S-DEL_Parameter_type,3,0,0,,0,3
CMO-S-REP_Binding_propertyName,41,0,41,,0,0
CMO-S-REP_CalledRule_name,2,0,2,,0,0
CMO-S-REP_IfStat_condition,1,0,1,,0,0
CMO-S-REP_MatchedRule_isAbstract,3,0,0,,3,0
CMO-S-REP_MatchedRule_name,12,0,0,,12,0
CMO-S-REP_OclModelElement_name,26,0,22,,4,0
CMO-S-REP_OclModel_name,13,0,9,,3,1
CMO-S-REP_Parameter_type,9,0,0,9,0,0
CMO-S-REP_Parameter_varName,3,0,0,,3,0
CMO-S-REP_SimpleInPatternElement_type,132,0,122,1,9,0
CMO-S-REP_SimpleInPatternElement_varName,12,0,0,,1,11
CMO-S-REP_SimpleOutPatternElement_type,59,0,51,,8,0
CMO-S-REP_SimpleOutPatternElement_varName,14,0,11,,3,0
Total,495,0,389,10,54,42
