Mutation Operator,Gen.,Green,Yellow,Orange,Red,Trivial,Not Killed,Not Compiled
Binding_propertyName_replace,9,0,0,0,9,0,0,0
OclContextDefinition_context__replace,4,0,0,0,0,4,0,0
OclFeatureDefinition_feature_replace,2,0,0,0,1,1,0,0
SimpleOutPatternElement_bindings_delete,3,0,0,0,3,0,0,0
OclModel_name_replace,13,0,0,0,5,4,3,1
Module_elements_replace,2,0,0,0,2,0,0,0
MatchedRule_name_replace,1,0,0,0,0,0,1,0
InPattern_filter_delete,1,0,0,1,0,0,0,0
InPattern_filter_replace,6,1,0,1,1,3,0,0
MatchedRule_inPattern_delete,1,0,0,0,0,0,0,1
Operation_name_replace,2,0,0,0,1,1,0,0
SimpleInPatternElement_varName_replace,1,0,0,0,0,0,1,0
Module_elements_delete,3,0,0,0,2,1,0,0
Iterator_varName_replace,4,0,0,0,0,0,4,0
Operation_returnType_replace,6,0,0,0,0,0,6,0
OclFeatureDefinition_context__delete,2,0,0,0,1,1,0,0
MatchedRule_outPattern_delete,1,0,0,0,1,0,0,0
OclModelElement_name_replace,4,0,0,0,1,3,0,0
SimpleOutPatternElement_varName_replace,1,0,0,0,0,0,1,0
Total,,1,0,2,27,18
Total,66,48,,,,,16,2
