Mutation Operator,Gen.,Green,Yellow,Orange,Red,Trivial,Not Killed,Not Compiled
OclFeatureDefinition_context__delete,8,0,0,2,0,4,2,0
Binding_propertyName_replace,22,0,0,4,0,18,0,0
SimpleOutPatternElement_bindings_delete,14,0,0,3,0,10,1,0
Operation_returnType_replace,28,0,0,0,0,0,28,0
SimpleOutPatternElement_type_replace,86,0,0,8,0,78,0,0
OclContextDefinition_context__replace,93,0,0,6,0,77,10,0
Attribute_type_replace,34,0,0,0,0,0,34,0
LazyMatchedRule_name_replace,5,0,0,1,0,4,0,0
OclFeatureDefinition_feature_replace,10,0,0,2,0,4,4,0
ActionBlock_statements_delete,2,0,0,0,0,2,0,0
OclModelElement_name_replace,22,0,0,1,0,14,7,0
Attribute_name_replace,2,0,0,0,0,0,2,0
OclModel_name_replace,13,0,0,0,0,9,3,1
SimpleOutPatternElement_varName_replace,10,0,0,0,0,0,10,0
SimpleInPatternElement_type_replace,41,0,0,0,0,8,33,0
SequenceType_elementType_replace,30,0,0,0,0,0,30,0
Module_elements_replace,8,0,0,0,0,8,0,0
LazyMatchedRule_outPattern_delete,5,0,0,0,0,5,0,0
Operation_name_replace,8,0,0,2,0,4,2,0
CalledRule_isEntrypoint_replace,1,0,0,0,0,1,0,0
Module_elements_delete,17,0,0,3,0,10,4,0
MatchedRule_name_replace,1,0,0,0,0,0,1,0
InPattern_filter_delete,1,0,0,0,0,0,1,0
LazyMatchedRule_inPattern_delete,5,0,0,0,0,0,0,5
SimpleInPatternElement_varName_replace,6,0,0,0,0,0,6,0
InPattern_filter_replace,6,0,0,0,0,4,2,0
MatchedRule_inPattern_delete,1,0,0,0,0,0,0,1
CalledRule_outPattern_delete,1,0,0,0,0,0,0,1
CalledRule_actionBlock_delete,1,0,0,0,0,1,0,0
MatchedRule_actionBlock_delete,1,0,0,0,0,1,0,0
OutPattern_elements_delete,4,0,0,0,0,0,0,4
Iterator_varName_replace,6,0,0,0,0,0,6,0
CalledRule_name_replace,1,0,0,0,0,0,1,0
MatchedRule_outPattern_delete,1,0,0,0,0,0,0,1
Total,,0,0,32,0,262
Total,494,294,,,,,187,13
