Mutation Operator,Gen.,Green,Yellow,Orange,Red,Trivial,Not Killed,Not Compiled
Binding_propertyName_replace,41,0,0,0,0,41,0,0
ActionBlock_statements_delete,3,0,0,1,0,2,0,0
SimpleInPatternElement_type_replace,132,0,0,0,0,122,10,0
SimpleOutPatternElement_bindings_delete,21,0,0,0,0,20,1,0
SimpleOutPatternElement_type_replace,59,0,0,0,0,51,8,0
MatchedRule_children_replace,73,0,0,0,0,70,3,0
Parameter_varName_replace,3,0,0,0,0,0,3,0
MatchedRule_isAbstract_replace,3,0,0,0,0,0,3,0
Parameter_type_replace,9,0,0,0,0,0,9,0
OclModelElement_name_replace,26,0,0,0,0,22,4,0
MatchedRule_outPattern_delete,12,0,0,0,0,11,0,1
OclModel_name_replace,13,0,0,0,0,9,3,1
SimpleOutPatternElement_varName_replace,14,0,0,0,0,11,3,0
MatchedRule_name_replace,12,0,0,0,0,0,12,0
MatchedRule_children_delete,10,0,0,0,0,7,3,0
Module_elements_replace,4,0,0,0,0,2,0,2
MatchedRule_inPattern_delete,12,0,0,0,0,0,0,12
SimpleInPatternElement_varName_replace,12,0,0,0,0,11,1,0
Parameter_type_delete,3,0,0,0,0,0,0,3
Module_elements_delete,14,0,0,0,0,13,1,0
IfStat_thenStatements_delete,1,0,0,1,0,0,0,0
CalledRule_outPattern_delete,2,0,0,0,0,0,0,2
MatchedRule_actionBlock_delete,1,0,0,1,0,0,0,0
CalledRule_parameters_delete,3,0,0,0,0,0,0,3
CalledRule_actionBlock_delete,2,0,0,0,0,2,0,0
IfStat_condition_replace,1,0,0,0,0,1,0,0
CalledRule_name_replace,2,0,0,0,0,2,0,0
Total,,0,0,3,0,397
Total,488,400,,,,,64,24
