Mutation Operator,Valid,Invalid
CMO-M-REP_Module_elements,3,3
CMO-S-REP_RealType_name,0,29
CMO-S-REP_CalledRule_name,1,0
CMO-S-DEL_CalledRule_outPattern,1,0
CMO-S-REP_LazyMatchedRule_name,6,0
CMO-S-REP_SimpleInPatternElement_type,88,0
CMO-M-DEL_CalledRule_variables,2,0
CMO-S-REP_MapType_name,0,1
CMO-S-REP_Operation_returnType,43,0
CMO-S-DEL_OclFeatureDefinition_context_,12,14
CMO-M-DEL_SimpleOutPatternElement_bindings,76,0
CMO-S-REP_IfStat_condition,6,0
CMO-S-REP_Attribute_name,13,0
CMO-S-REP_Binding_propertyName,210,16
CMO-S-DEL_Parameter_type,2,0
CMO-M-DEL_Operation_parameters,2,0
CMO-M-DEL_Module_inModels,0,1
CMO-S-REP_Operation_name,13,0
CMO-S-REP_SequenceType_elementType,68,0
CMO-S-REP_OclModelElement_name,46,0
CMO-M-DEL_Module_elements,33,0
CMO-S-REP_CalledRule_isEntrypoint,1,0
CMO-S-REP_BindingStat_source,6,0
CMO-S-REP_OclModel_name,13,3
CMO-S-REP_SequenceType_name,0,2
CMO-S-REP_BooleanType_name,0,4
CMO-S-REP_OclFeatureDefinition_feature,25,0
CMO-M-DEL_OutPattern_elements,30,0
CMO-S-DEL_RuleVariableDeclaration_initExpression,7,0
CMO-S-DEL_CalledRule_actionBlock,1,0
CMO-S-REP_Parameter_varName,2,0
CMO-S-REP_RuleVariableDeclaration_type,21,0
CMO-S-REP_BindingStat_propertyName,0,9
CMO-S-REP_RuleVariableDeclaration_varName,7,0
CMO-S-REP_SimpleOutPatternElement_varName,30,0
CMO-S-REP_Attribute_type,92,0
CMO-S-REP_IntegerType_name,0,13
CMO-M-DEL_InPattern_elements,18,0
CMO-S-REP_Parameter_type,6,0
CMO-S-REP_OclAnyType_name,0,2
CMO-S-REP_OclContextDefinition_context_,497,0
CMO-M-DEL_ActionBlock_statements,5,0
CMO-S-DEL_RuleVariableDeclaration_type,7,0
CMO-M-DEL_Module_outModels,0,1
CMO-S-DEL_LazyMatchedRule_inPattern,6,0
CMO-M-DEL_IfStat_thenStatements,3,0
CMO-S-REP_SimpleInPatternElement_varName,18,0
CMO-M-DEL_ForStat_statements,4,0
CMO-M-DEL_LazyMatchedRule_variables,5,0
CMO-S-DEL_LazyMatchedRule_actionBlock,2,4
CMO-S-REP_SimpleOutPatternElement_type,776,0
CMO-S-REP_Iterator_varName,21,0
CMO-S-DEL_Iterator_type,0,21
CMO-S-REP_StringType_name,0,15
CMO-S-DEL_LazyMatchedRule_outPattern,6,0
Total Mutants,2234,138
