Mutation Operator,Valid,Invalid
CMO-M-REP_Module_elements,2,0
CMO-M-REP_MatchedRule_children,82,28
CMO-S-REP_CalledRule_name,2,0
CMO-M-DEL_MatchedRule_children,10,0
CMO-S-DEL_CalledRule_outPattern,2,0
CMO-S-REP_BindingStat_propertyName,0,1
CMO-S-REP_SimpleInPatternElement_type,132,0
CMO-S-DEL_MatchedRule_actionBlock,1,11
CMO-S-REP_SimpleOutPatternElement_varName,14,0
CMO-S-DEL_MatchedRule_outPattern,12,0
CMO-M-DEL_InPattern_elements,0,12
CMO-S-REP_MatchedRule_name,12,0
CMO-M-DEL_SimpleOutPatternElement_bindings,21,0
CMO-S-REP_IfStat_condition,1,0
CMO-S-REP_Parameter_type,9,0
CMO-S-REP_Binding_propertyName,41,4
CMO-S-DEL_Parameter_type,3,0
CMO-M-DEL_Module_inModels,0,1
CMO-S-DEL_MatchedRule_inPattern,12,0
CMO-M-DEL_CalledRule_parameters,3,0
CMO-M-DEL_ActionBlock_statements,3,0
CMO-S-REP_MatchedRule_isAbstract,3,0
CMO-M-DEL_Module_outModels,0,1
CMO-S-REP_OclModelElement_name,26,0
CMO-M-DEL_Module_elements,14,0
CMO-M-DEL_IfStat_thenStatements,1,0
CMO-S-REP_SimpleInPatternElement_varName,12,0
CMO-S-REP_OclModel_name,13,3
CMO-S-REP_SimpleOutPatternElement_type,59,0
CMO-S-REP_StringType_name,0,3
CMO-S-DEL_CalledRule_actionBlock,2,0
CMO-S-REP_Parameter_varName,3,0
Total Mutants,495,64
