Mutation Operator,Valid,Invalid
CMO-M-REP_Module_elements,8,0
CMO-S-REP_RealType_name,0,1
CMO-S-REP_CalledRule_name,1,0
CMO-S-DEL_CalledRule_outPattern,1,0
CMO-S-REP_BindingStat_propertyName,0,2
CMO-S-REP_LazyMatchedRule_name,5,0
CMO-S-REP_SimpleInPatternElement_type,41,0
CMO-S-DEL_MatchedRule_actionBlock,1,0
CMO-S-REP_SimpleOutPatternElement_varName,10,0
CMO-S-DEL_MatchedRule_outPattern,1,0
CMO-S-REP_Attribute_type,34,0
CMO-S-REP_IntegerType_name,0,1
CMO-M-DEL_InPattern_elements,0,6
CMO-S-REP_InPattern_filter,6,0
CMO-S-REP_Operation_returnType,28,0
CMO-S-DEL_OclFeatureDefinition_context_,8,2
CMO-S-REP_MatchedRule_name,1,0
CMO-M-DEL_SimpleOutPatternElement_bindings,14,0
CMO-S-REP_Attribute_name,2,0
CMO-S-REP_Binding_propertyName,22,4
CMO-S-REP_OclContextDefinition_context_,93,0
CMO-S-REP_OclAnyType_name,0,2
CMO-M-DEL_Module_inModels,0,1
CMO-S-DEL_MatchedRule_inPattern,1,0
CMO-M-DEL_ActionBlock_statements,2,0
CMO-S-DEL_InPattern_filter,1,0
CMO-S-REP_Operation_name,8,0
CMO-S-REP_SequenceType_elementType,30,0
CMO-M-DEL_Module_outModels,0,1
CMO-S-REP_OclModelElement_name,22,0
CMO-M-DEL_Module_elements,17,0
CMO-S-DEL_LazyMatchedRule_inPattern,5,0
CMO-S-REP_SimpleInPatternElement_varName,6,0
CMO-S-REP_CalledRule_isEntrypoint,1,0
CMO-S-REP_OclModel_name,13,3
CMO-S-REP_SequenceType_name,0,2
CMO-S-REP_BooleanType_name,0,4
CMO-S-DEL_LazyMatchedRule_actionBlock,0,5
CMO-S-REP_OclFeatureDefinition_feature,10,0
CMO-S-REP_SimpleOutPatternElement_type,86,0
CMO-M-DEL_OutPattern_elements,4,0
CMO-S-REP_Iterator_varName,6,0
CMO-S-DEL_Iterator_type,0,6
CMO-S-REP_StringType_name,0,9
CMO-S-DEL_CalledRule_actionBlock,1,0
CMO-S-DEL_LazyMatchedRule_outPattern,5,0
Total Mutants,494,49
